date,close,volume,open,high,low
7/24/14,96.77,"26,383,394",97.08,97.32,96.42
7/23/14,97.19,90937230,95.42,97.88,95.17
7/22/14,94.72,54297530,94.68,94.89,94.12
7/21/14,93.939,38792960,94.99,95,93.72
7/18/14,94.43,49838110,93.62,94.74,93.02
7/17/14,93.0899,57111160,95.03,95.279,92.57
7/16/14,94.78,53323940,96.97,97.1,94.74
7/15/14,95.32,45187420,96.8,96.85,95.03
7/14/14,96.45,42643760,95.86,96.89,95.65
7/11/14,95.22,33960300,95.36,95.89,94.8625
7/10/14,95.035,39633800,93.76,95.55,93.52
7/9/14,95.39,36267350,95.44,95.95,94.76
7/8/14,95.35,65111960,96.27,96.8,93.92
7/7/14,95.968,54809030,94.14,95.99,94.1
7/3/14,94.03,22891750,93.67,94.1,93.2
7/2/14,93.48,28414310,93.865,94.06,93.09
7/1/14,93.52,38156280,93.52,94.07,93.13
6/30/14,92.93,49474230,92.1,93.725,92.09
6/27/14,91.98,61758200,90.82,92,90.77
6/26/14,90.9,32528680,90.37,91.05,89.8
6/25/14,90.36,36835900,90.21,90.7,89.65
6/24/14,90.28,38977670,90.75,91.74,90.19
6/23/14,90.83,43611710,91.32,91.62,90.6
6/20/14,90.91,100478600,91.85,92.55,90.9
6/19/14,91.86,35476080,92.29,92.3,91.3389
6/18/14,92.18,33314720,92.27,92.29,91.35
6/17/14,92.08,29684620,92.31,92.7,91.8
6/16/14,92.2,35371460,91.51,92.75,91.45
6/13/14,91.28,54406640,92.2,92.44,90.88
6/12/14,92.29,54628650,94.04,94.12,91.9
6/11/14,93.86,45528740,94.13,94.76,93.47
6/10/14,94.25,62563070,94.73,95.05,93.57
6/9/14,93.7,75295450,92.7,93.88,91.75
6/6/14,92.2243,87403076,92.8428,93.0371,92.0671
6/5/14,92.4785,75796583,92.3143,92.7671,91.8014
6/4/14,92.1171,83735285,91.0628,92.5557,90.8728
6/3/14,91.0771,73043412,89.78,91.2485,89.75
6/2/14,89.8071,92179668,90.5657,90.69,88.9285
5/30/14,90.4285,140860202,91.14,92.0243,89.8428
5/29/14,90.7685,93737728,89.6928,90.9814,89.6814
5/28/14,89.1443,78793704,89.4314,89.9757,89.1114
5/27/14,89.3757,86840486,87.9828,89.4085,87.9471
5/23/14,87.7328,57918367,86.75,87.8184,86.6385
5/22/14,86.7528,50142667,86.6571,87.1214,86.3
5/21/14,86.6157,49184983,86.2614,86.6714,86.0085
5/20/14,86.3871,58232373,86.3585,86.6285,85.8185
5/19/14,86.37,78819884,85.4071,86.7614,85.3328
5/16/14,85.3585,68960136,84.09,85.3614,83.6285
5/15/14,84.1171,57427744,84.9571,85.2285,84.0057
5/14/14,84.8385,41505203,84.6328,85.3428,84.5343
5/13/14,84.8228,39854512,84.5714,84.9343,84.3857
5/12/14,84.69,53184042,83.9271,84.8085,83.9143
5/9/14,83.6489,72767192,83.5057,83.75,82.9043
5/8/14,83.9985,57243511,84.0357,84.9157,83.7714
5/7/14,84.6185,70532231,85.0357,85.3271,83.9614
5/6/14,84.9157,93468228,85.9714,86.3442,84.9157
5/5/14,85.8514,71523851,84.3057,85.8571,84.2857
5/2/14,84.6543,47673150,84.62,84.8857,84.2443
5/1/14,84.4971,60958860,84.5714,84.9714,83.7657
4/30/14,84.2985,114029614,84.6628,85.6328,84.2571
4/29/14,84.6185,84049445,84.82,85.14,84.2157
4/28/14,84.87,167001640,81.8285,85.1071,81.7928
4/25/14,81.7057,97435199,80.6471,81.7128,80.5657
4/24/14,81.11,189588407,81.1728,81.4285,80.1043
4/23/14,74.9643,93473618,75.58,75.8757,74.9214
4/22/14,75.957,50607747,75.4728,75.9751,75.2144
4/21/14,75.8814,45546494,75.0485,76.02,74.8514
4/17/14,74.9914,70978621,74.2857,75.3943,74.1714
4/16/14,74.1443,52515794,74.0071,74.4414,73.4479
4/15/14,73.9942,66461884,74.3243,74.52,73.0471
4/14/14,74.5257,51252748,74.5571,74.5943,73.8871
4/11/14,74.23,67920698,74.1428,74.69,73.8771
4/10/14,74.7828,59701814,75.8114,76.0343,74.7385
4/9/14,75.76,51357706,74.6628,75.7843,74.5743
4/8/14,74.7771,60880929,75.0271,75.16,74.1
4/7/14,74.7814,72146992,75.4314,75.8428,74.5557
4/4/14,75.9743,68615246,77.1157,77.1428,75.7971
4/3/14,76.97,40472773,77.3414,77.5,76.8057
4/2/14,77.5071,44803807,77.4828,77.64,77.18
4/1/14,77.3785,50069657,76.8228,77.41,76.6814
3/31/14,76.6771,41787976,77.0328,77.2585,76.5614
3/28/14,76.6943,49703046,76.9028,76.9914,76.3214
3/27/14,76.78,55330425,77.145,77.3571,76.4457
3/26/14,77.1114,74394902,78.0743,78.4285,76.98
3/25/14,77.8557,70284361,77.3571,77.9643,77.0843
3/24/14,77.0271,88674487,76.9171,77.2143,76.4371
3/21/14,76.1243,93431688,75.99,76.25,75.19
3/20/14,75.5285,52017415,75.6985,76.0957,75.3357
3/19/14,75.8943,56077605,76.0371,76.6057,75.5714
3/18/14,75.9143,52279152,75.1285,75.9957,75.0286
3/17/14,75.2485,49725201,75.3857,75.71,75.1214
3/14/14,74.9557,59166181,75.5414,75.8414,74.7143
3/13/14,75.8071,64314038,76.7771,77.0943,75.5943
3/12/14,76.6585,49819071,76.3585,76.7643,76
3/11/14,76.5843,69791288,76.4928,76.9628,76.0843
3/10/14,75.8457,44638950,75.48,76.19,75.477
3/7/14,75.7771,55164427,75.87,75.9971,75.15
3/6/14,75.8214,46363282,76.1128,76.3485,75.4428
3/5/14,76.0514,50000910,75.8457,76.3928,75.59
3/4/14,75.8914,64772440,75.8571,76.0914,75.3957
3/3/14,75.3943,59671581,74.7743,75.8071,74.6871
2/28/14,75.1771,92930208,75.5828,76.1071,74.5885
2/27/14,75.3814,75444623,73.8771,75.54,73.7214
2/26/14,73.9071,69024270,74.8014,75,73.6571
2/25/14,74.58,57961606,75.6257,75.6521,74.4285
2/24/14,75.3643,72208942,74.7357,75.7028,74.6314
2/21/14,75.0357,69688045,76.1133,76.3671,74.9428
2/20/14,75.8785,76457383,76.1414,76.7143,75.5714
2/19/14,76.7671,78415914,77.8214,78.1271,76.3357
2/18/14,77.9985,65048101,78,78.7414,77.9443
2/14/14,77.7128,68395257,77.4957,77.9971,77.3157
2/13/14,77.7757,76790093,76.38,77.8357,76.3143
2/12/14,76.56,76994423,76.7071,77.08,76.1771
2/11/14,76.5657,70489461,75.8014,76.8214,75.6428
2/10/14,75.57,86342646,74.0943,75.9985,74
2/7/14,74.24,93444918,74.4828,74.7042,73.9114
2/6/14,73.2157,64415139,72.8657,73.3571,72.5443
2/5/14,73.2271,82072855,72.3657,73.6114,72.3217
2/4/14,72.6843,94166758,72.2643,72.78,71.8228
2/3/14,71.6471,100347900,71.8014,72.5328,71.3286
1/31/14,71.5143,116191705,70.74,71.6471,70.5071
1/30/14,71.3974,169602001,71.7914,72.3571,70.9571
1/29/14,71.5357,125679438,71.9928,72.4814,71.2314
1/28/14,72.3571,266302550,72.68,73.5714,71.7243
1/27/14,78.6428,135926881,78.5814,79.2571,77.9643
1/24/14,78.01,107943182,79.1428,79.3743,77.8214
1/23/14,79.4543,100803600,78.5628,79.5,77.8295
1/22/14,78.7871,94941728,78.7021,79.6128,78.2585
1/21/14,78.4385,81897015,77.2843,78.5814,77.2028
1/17/14,77.2385,106660852,78.7828,78.8671,77.1285
1/16/14,79.1785,57313035,79.2714,79.55,78.8114
1/15/14,79.6228,97888589,79.0743,80.0285,78.8085
1/14/14,78.0557,83082535,76.8885,78.1043,76.8085
1/13/14,76.5328,94612448,75.7014,77.5,75.6971
1/10/14,76.1343,76235553,77.1185,77.2571,75.8728
1/9/14,76.6455,69762819,78.1143,78.1228,76.4786
1/8/14,77.6371,64158428,76.9728,77.9371,76.9557
1/7/14,77.1482,80172914,77.76,77.9943,76.8464
1/6/14,77.7043,103132361,76.7785,78.1143,76.2285
1/3/14,77.2828,98046999,78.98,79.1,77.2043
1/2/14,79.0185,58661530,79.3828,79.5757,78.8601
12/31/13,80.1457,55761100,79.1671,80.1828,79.1428
12/30/13,79.2171,63265305,79.6371,80.0128,78.903
12/27/13,80.0128,56385717,80.5457,80.63,79.9285
12/26/13,80.5571,50906710,81.1571,81.3571,80.4823
12/24/13,81.0957,41888748,81.4128,81.6971,80.8614
12/23/13,81.4414,125072328,81.1428,81.5314,80.3943
12/20/13,78.4314,108738663,77.9185,78.8014,77.831
12/19/13,77.78,79939814,78.5,78.5714,77.6757
12/18/13,78.6814,141217062,78.5285,78.7785,76.9714
12/17/13,79.2843,57137328,79.4014,79.92,79.0535
12/16/13,79.6428,70547981,79.2885,80.377,79.2871
12/13/13,79.2043,82974455,80.4071,80.4114,79.0957
12/12/13,80.0771,65465763,80.306,80.7628,80.0043
12/11/13,80.1943,89783987,81,81.5671,79.9557
12/10/13,80.7928,69101620,80.5114,81.1257,80.1714
12/9/13,80.9185,79945274,80.1286,81.3685,80.1286
12/6/13,80.0028,85919076,80.8271,80.9643,79.9385
12/5/13,81.1287,111600823,81.8071,82.1622,80.9157
12/4/13,80.7143,94279248,80.7857,81.3128,80.1171
12/3/13,80.9031,112338274,79.7571,80.9114,79.6685
12/2/13,78.7471,117918255,79.7143,80.6185,78.6885
11/29/13,79.4385,79532274,78.4971,79.7614,78.2585
11/27/13,77.9943,90644497,76.6157,78,76.2
11/26/13,76.2,99957720,74.8743,76.5914,74.8571
11/25/13,74.82,57270811,74.4314,75.1243,74.4285
11/22/13,74.2571,55833466,74.2171,74.5943,74.0757
11/21/13,74.448,65382638,73.9428,74.4585,73.3814
11/20/13,73.5714,48459468,74.1757,74.3457,73.4757
11/19/13,74.2214,52105335,74.1471,74.7685,73.9957
11/18/13,74.0898,60997871,74.9985,75.3128,74.0285
11/15/13,74.9987,79339984,75.2257,75.5843,74.9271
11/14/13,75.4514,70401611,74.6871,75.6114,74.5528
11/13/13,74.3763,49154022,74,74.6071,73.8514
11/12/13,74.2871,51067815,73.9528,74.8457,73.8571
11/11/13,74.1497,56747589,74.2843,74.5243,73.4871
11/8/13,74.3657,69617240,73.5114,74.4471,73.2271
11/7/13,73.2131,65542966,74.2257,74.7414,73.1971
11/6/13,74.4171,55716622,74.8785,74.98,74.0285
11/5/13,75.0641,66243519,74.94,75.555,74.7143
11/4/13,75.25,61011871,74.4428,75.26,74.1157
11/1/13,74.29,68524519,74.86,74.9714,73.6914
10/31/13,74.6717,68774804,75,75.3557,74.4671
10/30/13,74.9851,88125406,74.23,75.36,73.86
10/29/13,73.8111,158499648,76.61,77.0357,73.5057
10/28/13,75.6965,124205797,75.5771,75.8571,74.7443
10/25/13,75.1368,84316215,75.9021,76.1757,75.0157
10/24/13,75.9871,96004539,75,76.0671,74.6357
10/23/13,74.9943,78237833,74.1428,75.0957,74.1428
10/22/13,74.2668,133200030,75.2007,75.4928,72.5757
10/21/13,74.4803,98700380,73.11,74.9,73.0743
10/18/13,72.6985,72195292,72.2843,72.7514,72.2443
10/17/13,72.0714,63116954,71.4257,72.1114,71.3828
10/16/13,71.5877,62449609,71.5414,71.79,71.3186
10/15/13,71.24,79715744,71.0721,71.7143,70.7886
10/14/13,70.8628,65216780,69.9757,71.0828,69.9071
10/11/13,70.4017,66797100,69.57,70.5486,69.3086
10/10/13,69.9483,69186523,70.1886,70.34,69.5771
10/9/13,69.5126,75304273,69.2343,69.6843,68.3257
10/8/13,68.7057,72260532,69.9914,70.0914,68.6486
10/7/13,69.6786,77889233,69.5086,70.3786,69.3357
10/4/13,69.0043,64638089,69.1228,69.2286,68.3714
10/3/13,69.0586,78802384,70.0728,70.3357,68.6769
10/2/13,69.9371,71799162,69.3757,70.2571,69.1071
10/1/13,69.7086,88194286,68.35,69.8771,68.3401
9/30/13,68.1071,64764985,68.1786,68.8086,67.773
9/27/13,68.9643,56787853,69.1114,69.2386,68.6743
9/26/13,69.46,59050786,69.4286,69.7943,69.1286
9/25/13,68.79,79011544,69.8857,69.9486,68.7757
9/24/13,69.8714,90481397,70.6971,70.7814,69.6886
9/23/13,70.0914,189942957,70.8714,70.9871,68.9428
9/20/13,66.7728,174425492,68.2857,68.3643,66.5714
9/19/13,67.4714,100811930,67.2428,67.9757,67.0357
9/18/13,66.3828,113636704,66.1686,66.6214,65.8086
9/17/13,65.0457,99704600,63.9943,65.6728,63.9286
9/16/13,64.3028,136563951,65.8571,65.9443,63.8886
9/13/13,66.4143,74495492,67.0486,67.4042,66.3857
9/12/13,67.5271,100856800,66.9286,67.9143,66.5728
9/11/13,66.8157,224172687,66.7157,67.67,66.4014
9/10/13,70.6628,185372026,72.3143,72.4928,69.9286
9/9/13,72.31,84479315,72.1428,72.56,71.9257
9/6/13,71.1743,89482147,71.2057,71.34,69.9928
9/5/13,70.7528,58779242,71.4643,71.5257,70.52
9/4/13,71.2416,86016026,71.3657,71.7485,70.8971
9/3/13,69.7971,82966965,70.4428,71.5143,69.6214
8/30/13,69.6023,68053649,70.2857,70.4214,69.5
8/29/13,70.2428,59804259,70.2357,70.9286,70.1614
8/28/13,70.128,76746763,69.4286,70.8286,69.4286
8/27/13,69.7986,105846822,71.1428,71.7871,69.4714
8/26/13,71.8528,82354395,71.5357,72.8857,71.5
8/23/13,71.5743,55559766,71.8957,71.9071,71.3357
8/22/13,71.8514,60866474,72.14,72.2271,71.1714
8/21/13,71.7657,83783025,71.9414,72.45,71.6
8/20/13,71.5814,89508677,72.8157,72.9385,71.5457
8/19/13,72.5343,127401718,72.0485,73.3914,72
8/16/13,71.7614,90314517,71.45,71.8485,71.2657
8/15/13,71.13,122386917,70.9171,71.7713,69.869
8/14/13,71.2143,188427037,71.1257,72.0357,70.4857
8/13/13,69.9386,219450906,67.2771,70.6657,66.8643
8/12/13,66.7657,90984207,65.2657,66.95,65.2328
8/9/13,64.9214,66643940,65.52,65.78,64.8071
8/8/13,65.8586,63939790,66.265,66.3,65.4214
8/7/13,66.4257,74622262,66.2571,66.7143,65.9671
8/6/13,66.4643,83703085,66.86,67.4128,66.0243
8/5/13,67.0643,79577704,66.3843,67.2386,66.0214
8/2/13,66.0771,68411287,65.43,66.1214,65.2371
8/1/13,65.2394,51386070,65.1076,65.2571,64.7514
7/31/13,64.6471,80624904,64.9986,65.3346,64.2043
7/30/13,64.76,77240193,64.28,65.3071,64.1757
7/29/13,63.97,62006404,62.9714,64.2843,62.8857
7/26/13,62.9986,50020601,62.1857,63.0057,62.0486
7/25/13,62.6428,57358143,62.9571,63.0571,62.2586
7/24/13,62.93,147906334,62.7043,63.5128,62.18
7/23/13,59.8557,88619467,60.8571,60.9943,59.8157
